1,Counter-Strike,2000,0,0,0,88,0,68991,0,9.99,9.99,13033334
2,"Team Fortress Classic",1999,0,0,0,0,0,2439,0,4.99,4.99,5399140
3,"Half-Life 2",2004,0,1,1,96,0,35792,33,9.99,9.99,9901173
4,"King's Bounty: Armored Princess",2009,0,1,0,82,0,308,0,9.99,2.49,369998
5,"FINAL FANTASY VII",2013,13,0,0,0,0,8431,36,11.99,11.99,1070538
6,Uncrewed,2016,0,0,0,0,0,0,21,11.99,11.99,533
7,"The Mahjong Huntress",2016,0,0,0,0,0,0,16,4.99,4.99,18832
8,"Quantum Break",2016,0,0,0,62,1,0,0,0,0,88957
9,"Cat President ~A More Purrfect Union~",2016,0,0,0,0,0,0,0,8.99,8.99,0
10,bloxyz,2016,0,0,0,0,1,0,0,3.99,3.99,897
11,"Electric Zombies",2016,0,0,0,0,0,0,25,0,0,3408
12,Cavernus,2016,0,0,0,0,1,0,0,1.99,1.99,6815
13,"Project Remedium",2016,0,0,0,0,0,0,0,0,0,0
14,Kalonline,2016,0,0,0,0,0,244,49,0,0,119985
15,"Titan Quest Anniversary Edition",2016,0,0,0,0,0,1826,75,19.99,19.99,1743816
16,"FINAL FANTASY VIII",2013,13,0,0,0,0,3954,45,11.99,11.99,592033
17,Kabitis,2016,0,0,1,0,1,0,0,2.99,2.99,5739
18,ORCS,2016,0,0,0,0,1,0,0,0.99,0.99,7353
19,"Kimulator : Fight for your destiny",2016,0,0,0,0,0,163,0,1.99,1.99,6457
20,"Global Soccer Manager",2016,0,0,0,0,0,0,50,7.99,7.99,0
21,"Major\Minor - EA",2016,0,0,0,0,0,0,116,9.99,9.99,10582
22,Holodaze,2016,0,0,0,0,0,0,10,2.99,2.99,0
23,Beholder,2016,0,0,0,0,0,0,0,0,0,75865
24,"MOAI 4: Terra Incognita Collector’s Edition",2016,0,0,0,0,0,0,73,7.99,7.99,0
25,"Crush Online",2016,0,0,0,0,0,0,0,0,0,108148
26,Bombslinger,2016,0,0,0,0,1,0,0,11.99,11.99,0
27,"Dungeon Siege III",2011,0,1,1,72,0,1262,54,14.99,14.99,730312
28,"MTB Downhill Simulator",2016,0,0,0,0,0,112,1,7.99,7.99,3587
29,"Reflection of Mine",2016,0,0,0,0,1,0,0,0,0,5919
30,"Johnny Graves—The Unchosen One",2016,0,0,0,0,0,0,0,14.99,14.99,7712
31,KNIGHTS,2016,0,0,0,0,0,116,20,0.99,0.99,11120
32,"MAGATAMA Earrings",2016,0,0,0,0,0,0,10,6.99,6.99,717
33,"One Small Fire At A Time",2016,0,0,0,0,0,0,21,9.99,9.99,538
34,"So Much Blood",2016,0,0,0,0,0,0,9,2.99,2.99,3766
35,"Picross Touch",2016,0,0,0,0,0,109,0,0,0,38201
36,"Choice of the Pirate",2016,0,1,0,0,0,0,18,3.99,3.99,5739
37,"Cally's Trials",2016,0,0,1,0,1,0,32,6.99,6.99,19728
38,"Dungeon Siege",2011,0,0,0,86,0,796,0,6.99,6.99,390085
39,"Children of a Dead Earth",2016,0,0,0,0,0,0,0,0,0,4663
40,"Island 359",2016,0,0,0,0,0,0,0,19.99,19.99,8609
41,MechaGore,2016,0,0,0,0,1,0,4,4.99,4.99,1255
