queryname,releasedate,requiredage,democount,dlccount,metacritic,controllersupport,recommendationcount,achievementcount,priceinitial,pricefinal,steamspyowners
Counter-Strike,Nov 1 2000,0,0,0,88,false,68991,0,9.99,9.99,13033334
Team Fortress Classic,Apr 1 1999,0,0,0,0,false,2439,0,4.99,4.99,5399140
Half-Life 2,Nov 16 2004,0,1,1,96,false,35792,33,9.99,9.99,9901173
King's Bounty: Armored Princess,Nov 19 2009,0,1,0,82,false,308,0,9.99,2.49,369998
FINAL FANTASY VII,Jul 4 2013,13,0,0,0,false,8431,36,11.99,11.99,1070538
Uncrewed,Jul 28 2016,0,0,0,0,false,0,21,11.99,11.99,533
The Mahjong Huntress,May 25 2016,0,0,0,0,false,0,16,4.99,4.99,18832
Quantum Break,Sep 29 2016,0,0,0,62,true,0,0,0.0,0.0,88957
Cat President ~A More Purrfect Union~,Aug 23 2016,0,0,0,0,false,0,0,8.99,8.99,0
bloxyz,May 19 2016,0,0,0,0,true,0,0,3.99,3.99,897
Electric Zombies,Jun 9 2016,0,0,0,0,false,0,25,0.0,0.0,3408
Cavernus,Jul 5 2016,0,0,0,0,true,0,0,1.99,1.99,6815
Project Remedium,2016,0,0,0,0,false,0,0,0.0,0.0,0
Kalonline,Jul 13 2016,0,0,0,0,false,244,49,0.0,0.0,119985
Titan Quest Anniversary Edition,Aug 31 2016,0,0,0,0,false,1826,75,19.99,19.99,1743816
FINAL FANTASY VIII,Dec 5 2013,13,0,0,0,false,3954,45,11.99,11.99,592033
Kabitis,Jun 2 2016,0,0,1,0,true,0,0,2.99,2.99,5739
ORCS,May 20 2016,0,0,0,0,true,0,0,0.99,0.99,7353
Kimulator : Fight for your destiny,Aug 11 2016,0,0,0,0,false,163,0,1.99,1.99,6457
Global Soccer Manager,Jun 14 2016,0,0,0,0,false,0,50,7.99,7.99,0
Major\Minor - EA,May 19 2016,0,0,0,0,false,0,116,9.99,9.99,10582
Holodaze,May 19 2016,0,0,0,0,false,0,10,2.99,2.99,0
Beholder,Fall 2016,0,0,0,0,false,0,0,0.0,0.0,75865
MOAI 4: Terra Incognita Collector’s Edition,Jun 7 2016,0,0,0,0,false,0,73,7.99,7.99,0
Crush Online,September 2016,0,0,0,0,false,0,0,0.0,0.0,108148
Bombslinger,Jul 19 2016,0,0,0,0,true,0,0,11.99,11.99,0
Dungeon Siege III,Jun 20 2011,0,1,1,72,false,1262,54,14.99,14.99,730312
MTB Downhill Simulator,May 27 2016,0,0,0,0,false,112,1,7.99,7.99,3587
Reflection of Mine,^UTUMN 2016,0,0,0,0,true,0,0,0.0,0.0,5919
Johnny Graves—The Unchosen One,Jun 15 2016,0,0,0,0,false,0,0,14.99,14.99,7712
KNIGHTS,May 30 2016,0,0,0,0,false,116,20,0.99,0.99,11120
MAGATAMA Earrings,Jun 14 2016,0,0,0,0,false,0,10,6.99,6.99,717
One Small Fire At A Time,Jun 10 2016,0,0,0,0,false,0,21,9.99,9.99,538
So Much Blood,Jun 3 2016,0,0,0,0,false,0,9,2.99,2.99,3766
Picross Touch,Aug 24 2016,0,0,0,0,false,109,0,0.0,0.0,38201
Choice of the Pirate,May 20 2016,0,1,0,0,false,0,18,3.99,3.99,5739
Cally's Trials,Jun 14 2016,0,0,1,0,true,0,32,6.99,6.99,19728
Dungeon Siege,Apr 5 2011,0,0,0,86,false,796,0,6.99,6.99,390085
Children of a Dead Earth,Sept 23 2016,0,0,0,0,false,0,0,0.0,0.0,4663
The Silver Case,2016 Autumn,0,1,0,0,true,0,0,0.0,0.0,4304
Island 359,Aug 23 2016,0,0,0,0,false,0,0,19.99,19.99,8609
MechaGore,Jun 14 2016,0,0,0,0,true,0,4,4.99,4.99,1255
Rescue Lucy,Jun 3 2016,0,0,2,0,false,0,0,2.99,2.99,8609
Amulet of Dreams,Jun 3 2016,0,0,0,0,false,0,7,6.99,6.99,3228
FourChords Guitar Karaoke,Jul 18 2016,0,0,3,0,true,0,29,14.99,14.99,1973
10 Minute Tower,Jul 26 2016,0,0,0,0,true,0,0,14.99,14.99,0
Surge,May 24 2016,0,0,0,0,false,120,0,0.0,0.0,71381
SparkDimension,,0,0,0,0,false,0,0,0.0,0.0,5201
Dungeon Siege 2,Aug 16 2005,0,0,0,80,false,536,0,6.99,6.99,410352
Human: Fall Flat,Jul 22 2016,0,0,0,70,true,526,47,14.99,14.99,45734
Chamber 19,May 27 2016,0,1,0,0,false,0,0,14.99,14.99,538
Shard Games,Jul 29 2016,0,0,0,0,false,0,0,8.99,8.99,0
Descent: Road to Legend,Jun 1 2016,0,0,0,0,false,0,0,0.0,0.0,45196
Lightblade VR,May 31 2016,0,0,0,0,false,249,0,3.99,3.99,26185
Magma Tsunami,Jun 1 2016,0,0,0,0,false,194,0,0.99,0.99,87881
Space Hole,Sep 2 2016,0,0,0,0,true,0,1,0.99,0.99,3228
Toricky,2016,0,0,0,0,false,0,0,0.0,0.0,0
Eador. Imperium,Jun 2 2016,0,0,0,0,false,0,0,19.99,19.99,4304
Thirty Years' War,Jun 9 2016,0,0,0,0,false,0,0,29.99,29.99,4842
FINAL FANTASY XIV: A Realm Reborn,Feb 18 2014,0,1,1,83,false,5022,0,19.99,19.99,499309
Ride 2,Oct 2016,0,0,0,0,false,0,0,0.0,0.0,13631
Piñata,Sep 1 2016,0,0,0,0,false,0,0,0.0,0.0,22777
Lord of Dwarves,2017,0,0,0,0,false,0,0,0.0,0.0,0
Wanderer of Teandria,May 26 2016,0,0,0,0,true,0,12,4.99,4.99,1793
Simple Spy,Jul 5 2016,0,0,0,0,false,0,25,1.99,1.99,0
Overhell,May 28 2016,0,0,0,0,false,0,0,1.99,1.99,23853
ABC Coloring Town,May 29 2016,0,0,0,0,false,0,0,2.99,2.99,22598
Old School 8-in-1 bundle,Jun 2 2016,0,0,0,0,false,0,0,7.99,7.99,0
BUDDY,May 27 2016,0,0,0,0,true,0,11,9.99,9.99,1793
V ARRR,Jun 10 2016,0,0,0,0,false,0,0,9.99,9.99,2152
Pets Fun House,Sep 23 2009,0,0,0,0,false,0,0,19.99,19.99,808
Clickteam Fusion 2.5 Free Edition,Jun 16 2016,0,0,0,0,false,0,0,0.0,0.0,41788
Mansions of Madness,Aug 1 2016,0,0,0,0,false,0,0,0.0,0.0,40174
IrreVRsible,May 26 2016,0,0,0,0,false,0,0,5.99,5.99,1255
Kodon,Jun 3 2016,0,0,0,0,false,0,0,19.99,19.99,2152
Pirates of the Polygon Sea,Jul 12 2016,0,0,0,0,false,0,0,12.99,12.99,803
Metamorphic,Jul 6 2016,0,0,0,0,false,0,1,12.99,12.99,897
Music Wars Empire,Jun 1 2016,0,0,0,0,false,0,0,14.99,14.99,6636
Hunter's Legacy,Jul 19 2016,0,1,1,58,true,0,15,6.99,6.99,0
ESEA,Jul 8 2016,0,0,1,0,false,431,0,0.0,0.0,185089
Framed Wings,Aug 6 2016,0,0,0,0,false,0,20,3.99,3.99,0
Gothic 3,Dec 2 2009,0,0,0,63,false,1707,0,9.99,9.99,428287
BoX -containment-,May 26 2016,0,0,0,0,false,0,0,4.99,4.99,2152
